solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,conflict_literals,memory_reported_mb
minisat,6g_6color_366_050_04.cnf,benchmarks/6g_6color_366_050_04.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_51_0.17.cnf,benchmarks/brent_51_0.17.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,c499_gr_2pin_w6.shuffled.cnf,benchmarks/c499_gr_2pin_w6.shuffled.cnf,SAT,0.1794395446777343,10.0,False,False,6910.0,107111.0,693299.0,31.0,2070.0,22470.0,0.142042,61087.0,84.86
minisat,TableModel_output_8_4_7.bul_.dimacs.cnf,benchmarks/TableModel_output_8_4_7.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_10.cnf,benchmarks/hash_table_find_safety_size_10.cnf,UNSAT,29.448729515075684,20.0,False,False,7150.0,498286.0,119644776.0,31.0,4722359.0,18734004.0,27.94,862925.0,2423.91
minisat,tseitin_d3_n200.cnf,benchmarks/tseitin_d3_n200.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,tph8.cnf,benchmarks/tph8.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_63_0.cnf,benchmarks/brent_63_0.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,intervals633.cnf,benchmarks/intervals633.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_484_E_50_Cl_33_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_484_E_50_Cl_33_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satcoin-genesis-UNSAT-18600.cnf,benchmarks/satcoin-genesis-UNSAT-18600.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_63_0.2.cnf,benchmarks/brent_63_0.2.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,stb_531_83.apx_2_DC-AD.cnf,benchmarks/stb_531_83.apx_2_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satch2ways16w.cnf,benchmarks/satch2ways16w.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,g2-T99.2.0.cnf,benchmarks/g2-T99.2.0.cnf,UNSAT,28.95428490638733,20.0,False,False,96.0,1332.0,70761.0,1.0,3467274.0,12115112.0,27.7846,382.0,2064.16
minisat,SCPC-800-42.cnf,benchmarks/SCPC-800-42.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,benchmarks/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SCPC-800-50.cnf,benchmarks/SCPC-800-50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,rphp_p8_r250.cnf,benchmarks/rphp_p8_r250.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grs-128-64.cnf,benchmarks/grs-128-64.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
