solver,instance,path,status,runtime_sec,returncode,timeout,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
glucose,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,10440.0,106244.0,,,,,,,,,,,,,,,,,,,,
maplesat,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,23.073025703430176,10.0,False,850708.0,4347081.0,87317063.0,35964.0,,,,778312.0,531556.0,267778.0,243161.0,10207.0,23.01,23.04,635088.0,10.0,,,,,,,,,,
glucose,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,UNSAT,111.9740858078003,20.0,False,14191.0,1849277.0,492742215.0,61.0,15062376.0,60600058.0,77.9682,,,,,,,,,,,,,,,,,,4080701.0,0.003792
cadical,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.013818025588989258,10.0,False,,,0.0,,,,,,,,,,0.0,0.0,4016.0,10.0,,,,,,,,,,
glucose,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.012129068374633789,10.0,False,0.0,324.0,598.0,1.0,598.0,14076.0,0.003658,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
maplesat,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.010885953903198242,10.0,False,0.0,324.0,598.0,1.0,598.0,14076.0,0.003148,,,,,,,,,,,,,,,,,,0.0,
cadical,goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,benchmarks/goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,UNSAT,7.58660101890564,20.0,False,216509.0,1373029.0,76191694.0,10375.0,,,,208927.0,122440.0,53008.0,24969.0,3187.0,7.56,7.58,62752.0,20.0,,,,,,,,,,
