solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
glucose,brent_63_0.22.cnf,benchmarks/brent_63_0.22.cnf,TIMEOUT,300.0,,True,False,,,,,74982.0,201500.0,,,,,,,,,,,,,,,,,,,,
maplesat,brent_63_0.22.cnf,benchmarks/brent_63_0.22.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,pyhala-braun-sat-35-4-04.shuffled.cnf,benchmarks/pyhala-braun-sat-35-4-04.shuffled.cnf,SAT,25.159494161605835,10.0,False,False,281891.0,445286.0,133540790.0,14168.0,,,,277206.0,147762.0,88266.0,14518.0,4136.0,24.85,25.15,67.0,10.0,,,,,,,,,,
glucose,pyhala-braun-sat-35-4-04.shuffled.cnf,benchmarks/pyhala-braun-sat-35-4-04.shuffled.cnf,SAT,17.90562105178833,10.0,False,False,177040.0,218501.0,79084372.0,194.0,7383.0,24097.0,17.6949,,,,,,,,,,0.0,11.0,139589.0,33.0,841.0,132.0,1.0,1055.0,,
maplesat,pyhala-braun-sat-35-4-04.shuffled.cnf,benchmarks/pyhala-braun-sat-35-4-04.shuffled.cnf,SAT,9.020526885986328,10.0,False,False,102849.0,133865.0,43675128.0,258.0,7383.0,24097.0,8.90977,,,,,,,,,,,,,,,,,,4022143.0,0.241687
cadical,asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,benchmarks/asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,SAT,214.0016896724701,10.0,False,False,824941.0,30460325.0,417920216.0,115721.0,,,,731196.0,568594.0,43581.0,104916.0,3984.0,211.7,213.96,183.38,10.0,,,,,,,,,,
glucose,asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,benchmarks/asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,TIMEOUT,300.0,,True,False,,,,,158719.0,372941.0,,,,,,,,,,,,,,,,,,,,
maplesat,asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,benchmarks/asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,satcoin-genesis-UNSAT-19800.cnf,benchmarks/satcoin-genesis-UNSAT-19800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,satcoin-genesis-UNSAT-19800.cnf,benchmarks/satcoin-genesis-UNSAT-19800.cnf,TIMEOUT,300.0,,True,False,,,,,134781.0,648661.0,,,,,,,,,,,,,,,,,,,,
maplesat,satcoin-genesis-UNSAT-19800.cnf,benchmarks/satcoin-genesis-UNSAT-19800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,WS_500_16_90_70.apx_2_DC-ST.cnf,benchmarks/WS_500_16_90_70.apx_2_DC-ST.cnf,UNSAT,182.91497111320496,20.0,False,False,3802815.0,5118433.0,290130621.0,124538.0,,,,3724776.0,2476601.0,1033183.0,59064.0,15825.0,181.11,182.9,67.0,20.0,,,,,,,,,,
glucose,WS_500_16_90_70.apx_2_DC-ST.cnf,benchmarks/WS_500_16_90_70.apx_2_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,1000.0,13500.0,,,,,,,,,,,,,,,,,,,,
maplesat,WS_500_16_90_70.apx_2_DC-ST.cnf,benchmarks/WS_500_16_90_70.apx_2_DC-ST.cnf,UNSAT,85.37791323661804,20.0,False,False,1492703.0,1802106.0,215681826.0,2928.0,1000.0,13500.0,84.6433,,,,,,,,,,,,,,,,,,54305542.0,0.104693
cadical,multiplier_16bits__miter_19.cnf,benchmarks/multiplier_16bits__miter_19.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,multiplier_16bits__miter_19.cnf,benchmarks/multiplier_16bits__miter_19.cnf,TIMEOUT,300.0,,True,False,,,,,5776.0,17200.0,,,,,,,,,,,,,,,,,,,,
maplesat,multiplier_16bits__miter_19.cnf,benchmarks/multiplier_16bits__miter_19.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,SAT,57.69885468482971,10.0,False,False,293462.0,12610442.0,149983204.0,11863.0,,,,280356.0,176973.0,127657.0,148029.0,2894.0,57.12,57.64,296.17,10.0,,,,,,,,,,
glucose,SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,SAT,95.28176689147948,10.0,False,False,978949.0,49053186.0,525331508.0,14019.0,250679.0,807738.0,93.9756,,,,,,,,,,2031.0,27.0,899518.0,81.0,4216.0,2139.0,20.0,5167.0,,
maplesat,SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_486_E_50_Cl_33_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,grs-48-128.cnf,benchmarks/grs-48-128.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
