solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward,category,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
maplesat,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,benchmarks/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,
cadical,hash_table_find_safety_size_23.cnf,benchmarks/hash_table_find_safety_size_23.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
glucose,hash_table_find_safety_size_23.cnf,benchmarks/hash_table_find_safety_size_23.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,hash_table_find_safety_size_23.cnf,benchmarks/hash_table_find_safety_size_23.cnf,UNSAT,165.77336359024048,20.0,False,False,15387.0,1685952.0,418137855.0,62.0,14140522.0,56857195.0,160.132,,,,,,,,,,,,,,,,,,2746399.0,0.004658,industrial,109.56989666601677,0.009126594351440611,10170.22254653254,0.004029375446805745,248.17741935483872,0.3740045967411987,,,,27174.74848898421,248.01290606138252
cadical,DivU_624_11.cnf.sanitized.cnf,benchmarks/DivU_624_11.cnf.sanitized.cnf,UNSAT,12.155758619308472,20.0,False,False,84449.0,809039.0,1034630.0,330.0,,,,32034.0,12095.0,69572.0,55537.0,1269.0,11.99,12.13,201.98,20.0,,,,,,,,,,,crafted,9.580208172980141,0.10438186539833061,66556.02709278093,0.0039076839275775915,255.9060606060606,27.147626926041525,0.3793295361697593,,,12.251536430271525,1.2788382265873461
glucose,DivU_624_11.cnf.sanitized.cnf,benchmarks/DivU_624_11.cnf.sanitized.cnf,UNSAT,135.19613337516785,20.0,False,False,0.0,0.0,348.0,0.0,624.0,612150.0,133.038,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,crafted,,,0.0,,,0.0,,,,,
maplesat,DivU_624_11.cnf.sanitized.cnf,benchmarks/DivU_624_11.cnf.sanitized.cnf,UNSAT,79.49870419502258,20.0,False,False,0.0,0.0,347.0,0.0,624.0,612150.0,78.6042,,,,,,,,,,,,,,,,,,0.0,,crafted,,,0.0,,,0.0,,,,,
cadical,31_1.cnf,benchmarks/31_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
glucose,31_1.cnf,benchmarks/31_1.cnf,TIMEOUT,300.0,,True,False,,,,,5088.0,16928.0,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
maplesat,31_1.cnf,benchmarks/31_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
cadical,or_randxor_k3_n520_m520.cnf,benchmarks/or_randxor_k3_n520_m520.cnf,UNSAT,1.396353244781494,20.0,False,False,50193.0,57490.0,4409462.0,941.0,,,,48921.0,21731.0,22735.0,5038.0,998.0,1.34,1.38,68.0,20.0,,,,,,,,,,,random,1.14537883768653,0.8730735780135676,41171.53035226142,0.018747634132249516,53.34006376195536,673.8982442420943,0.974657820811667,,,87.85013846552309,76.69963471908157
glucose,or_randxor_k3_n520_m520.cnf,benchmarks/or_randxor_k3_n520_m520.cnf,TIMEOUT,300.0,,True,False,,,,,1040.0,6991.0,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,
maplesat,or_randxor_k3_n520_m520.cnf,benchmarks/or_randxor_k3_n520_m520.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,
cadical,satcoin-genesis-UNSAT-17400.cnf,benchmarks/satcoin-genesis-UNSAT-17400.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
